,District,Name,Party,Office Room,Phone,Committee Assignment,State
0,1st,"Carl, Jerry L.",R,1330 LHOB,(202) 225-4931,Armed Services|Natural Resources,Alabama
1,2nd,"Moore, Barry",R,1504 LHOB,(202) 225-2901,Agriculture|Veterans' Affairs,Alabama
2,3rd,"Rogers, Mike",R,2469 RHOB,(202) 225-3261,Armed Services,Alabama
3,4th,"Aderholt, Robert",R,266 CHOB,(202) 225-4876,Appropriations,Alabama
4,5th,"Brooks, Mo",R,2185 RHOB,(202) 225-4801,"Armed Services|Science, Space, and Technology",Alabama
5,6th,"Palmer, Gary",R,170 CHOB,(202) 225-4921,Climate Crisis|Energy and Commerce,Alabama
6,7th,"Sewell, Terri A.",D,2201 RHOB,(202) 225-2665,Ways and Means,Alabama
0,At Large,"Peltola, Mary",D,2314 RHOB,(202) 225-5765,Education and Labor|Natural Resources,Alaska
0,Delegate,"Radewagen, Amata",R,1339 LHOB,(202) 225-8577,Natural Resources|Veterans' Affairs,American Samoa
0,1st,"O'Halleran, Tom",D,318 CHOB,(202) 225-3361,Agriculture|Energy and Commerce,Arizona
1,2nd,"Kirkpatrick, Ann",D,309 CHOB,(202) 225-2542,Appropriations,Arizona
2,3rd,"Grijalva, Raul",D,1511 LHOB,(202) 225-2435,Education and Labor|Natural Resources,Arizona
3,4th,"Gosar, Paul A.",R,2057 RHOB,(202) 225-2315,,Arizona
4,5th,"Biggs, Andy",R,171 CHOB,(202) 225-2635,Oversight and Reform|Judiciary,Arizona
5,6th,"Schweikert, David",R,304 CHOB,(202) 225-2190,Ways and Means,Arizona
6,7th,"Gallego, Ruben",D,1131 LHOB,(202) 225-4065,Armed Services|Natural Resources|Veterans' Affairs,Arizona
7,8th,"Lesko, Debbie",R,1214 LHOB,(202) 225-4576,Energy and Commerce,Arizona
8,9th,"Stanton, Greg",D,207 CHOB,(202) 225-9888,Judiciary|Transportation and Infrastructure,Arizona
0,1st,"Crawford, Rick",R,2422 RHOB,(202) 225-4076,Agriculture|Intelligence|Transportation and Infrastructure,Arkansas
1,2nd,"Hill, French",R,1533 LHOB,(202) 225-2506,Financial Services,Arkansas
2,3rd,"Womack, Steve",R,2412 RHOB,(202) 225-4301,Appropriations,Arkansas
3,4th,"Westerman, Bruce",R,202 CHOB,(202) 225-3772,Natural Resources|Transportation and Infrastructure,Arkansas
0,1st,"LaMalfa, Doug",R,408 CHOB,(202) 225-3076,Agriculture|Transportation and Infrastructure,California
1,2nd,"Huffman, Jared",D,1527 LHOB,(202) 225-5161,Climate Crisis|Natural Resources|Transportation and Infrastructure,California
2,3rd,"Garamendi, John",D,2368 RHOB,(202) 225-1880,Armed Services|Transportation and Infrastructure,California
3,4th,"McClintock, Tom",R,2312 RHOB,(202) 225-2511,Budget|Natural Resources|Judiciary,California
4,5th,"Thompson, Mike",D,268 CHOB,(202) 225-3311,Joint Committee on Taxation|Ways and Means,California
5,6th,"Matsui, Doris O.",D,2311 RHOB,(202) 225-7163,Energy and Commerce,California
6,7th,"Bera, Ami",D,172 CHOB,(202) 225-5716,"Foreign Affairs|Science, Space, and Technology",California
7,8th,"Obernolte, Jay",R,1029 LHOB,(202) 225-5861,"Budget|Natural Resources|Science, Space, and Technology",California
8,9th,"McNerney, Jerry",D,2265 RHOB,(202) 225-1947,"Energy and Commerce|Science, Space, and Technology",California
9,10th,"Harder, Josh",D,209 CHOB,(202) 225-4540,Agriculture|Appropriations,California
10,11th,"DeSaulnier, Mark",D,503 CHOB,(202) 225-2095,Education and Labor|Oversight and Reform|Transportation and Infrastructure|Rules,California
11,12th,"Pelosi, Nancy",D,1236 LHOB,(202) 225-4965,,California
12,13th,"Lee, Barbara",D,2470 RHOB,(202) 225-2661,Appropriations|Budget,California
13,14th,"Speier, Jackie",D,2465 RHOB,(202) 225-3531,Armed Services|Oversight and Reform|Intelligence,California
14,15th,"Swalwell, Eric",D,174 CHOB,(202) 225-5065,Homeland Security|Intelligence|Judiciary,California
15,16th,"Costa, Jim",D,2081 RHOB,(202) 225-3341,Agriculture|Foreign Affairs|Natural Resources,California
16,17th,"Khanna, Ro",D,306 CHOB,(202) 225-2631,Agriculture|Armed Services|Oversight and Reform,California
17,18th,"Eshoo, Anna G.",D,272 CHOB,(202) 225-8104,Energy and Commerce,California
