Origin City,Origin Code,Arrival,Flight,Airline,Terminal,Status,Date,Reference Day,url,Date_Time,Origin Country,Parent Company
Antofagasta,(ANF),00:01,LA343,LATAM Airlines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 00:01:00,Chile,LATAM Airlines Group
Calama,(CJC),00:04,H2245,Sky Airline,1,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 00:04:00,Chile,Sky Airline S.A.
Puerto Montt,(PMC),00:13,JA156,JetSMART,1,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 00:13:00,Chile,Indigo Partners
Sao Paulo,(GRU),00:25,LA751,LATAM Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 00:25:00,Brazil,LATAM Airlines Group
Sao Paulo,(GRU),00:25,QF3896,Qantas,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 00:25:00,Brazil,Qantas Airways Limited
Iquique,(IQQ),00:51,JA117,JetSMART,1,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 00:51:00,Chile,Indigo Partners
Rio De Janeiro,(GIG),00:52,LA773,LATAM Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 00:52:00,Brazil,LATAM Airlines Group
Rio De Janeiro,(GIG),00:52,QF3887,Qantas,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 00:52:00,Brazil,Qantas Airways Limited
Antofagasta,(ANF),00:58,H2275,Sky Airline,1,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 00:58:00,Chile,Sky Airline S.A.
Iquique,(IQQ),01:06,LA903,LATAM Airlines,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 01:06:00,Chile,LATAM Airlines Group
Arica,(ARI),01:50,LA197,LATAM Airlines,1,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 01:50:00,Chile,LATAM Airlines Group
Arica,(ARI),01:50,IB7063,Iberia,1,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 01:50:00,Chile,International Airlines Group
Puerto Montt,(PMC),01:56,H276,Sky Airline,1,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 01:56:00,Chile,Sky Airline S.A.
Panama City,(PTY),01:57,CM474,Copa Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 01:57:00,Panama,Copa Holdings
Panama City,(PTY),01:57,KL3042,KLM Royal Dutch Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 01:57:00,Panama,Air France-KLM
Buenos Aires,(EZE),02:31,M38490,LATAM Cargo Brasil,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 02:31:00,Argentina,LATAM Airlines Group
Lima,(LIM),03:01,JZ7500,JetSMART Airlines Peru,2,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 03:01:00,Peru,Indigo Partners
Sao Paulo,(GRU),03:05,LA8132,LATAM Airlines,2,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 03:05:00,Brazil,LATAM Airlines Group
Sao Paulo,(GRU),03:05,BA4304,British Airways,2,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 03:05:00,Brazil,International Airlines Group
Sao Paulo,(GRU),03:05,DL6142,Delta Air Lines,2,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 03:05:00,Brazil,Delta Air Lines Inc.
Sao Paulo,(GRU),03:05,QF3900,Qantas,2,En Route [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 03:05:00,Brazil,Qantas Airways Limited
Punta Arenas,(PUQ),03:11,LA82,LATAM Airlines,1,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-arrivals?day=yesterday&tp=0,2023-05-02 03:11:00,Chile,LATAM Airlines Group
