Destination City,Destination Code,Departure,Flight,Airline,Terminal,Status,Date,Reference Day,url,Date_Time,Destination Country,Parent Company
Panama City,(PTY),00:20,CM118,Copa Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 00:20:00,Panama,Copa Holdings
Bogota,(BOG),00:30,LA572,LATAM Airlines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 00:30:00,Colombia,LATAM Airlines Group
Bogota,(BOG),00:30,DL7387,Delta Air Lines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 00:30:00,Colombia,Delta Air Lines Inc.
Bogota,(BOG),00:30,QF4207,Qantas,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 00:30:00,Colombia,Qantas Airways Limited
Auckland,(AKL),00:35,LA801,LATAM Airlines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 00:35:00,New Zealand,LATAM Airlines Group
Auckland,(AKL),00:35,CX7801,Cathay Pacific,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 00:35:00,New Zealand,Swire Pacific Limited
Auckland,(AKL),00:35,MH9781,Malaysia Airlines,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 00:35:00,New Zealand,Malaysia Aviation Group
Auckland,(AKL),00:35,QF3876,Qantas,2,Landed - Delayed [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 00:35:00,New Zealand,Qantas Airways Limited
Panama City,(PTY),00:38,CM276,Copa Airlines,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 00:38:00,Panama,Copa Holdings
Bogota,(BOG),00:40,AV240,Avianca,2,Landed - On-time [+],2023-05-02,yesterday,https://www.santiago-airport.com/scl-departures?day=yesterday&tp=0,2023-05-02 00:40:00,Colombia,Avianca Holdings S.A.
